tid,amount,date,price,type
1,0.011364,2014-03-29 13:36:43,4400.0,sell
2,0.5,2014-03-30 18:14:32,1500.0,buy
3,0.30000001,2014-03-30 18:25:55,1495.0,buy
4,0.30000001,2014-03-30 18:27:35,1495.0,buy
5,0.30000001,2014-03-30 18:30:42,1491.0,sell
6,0.22,2014-03-30 18:37:49,1487.0,buy
7,0.145,2014-03-30 18:38:01,1489.0,buy
8,0.05,2014-03-30 18:39:27,1480.0,sell
9,0.059000000000000004,2014-03-30 18:39:33,1470.0,sell
10,0.30000001,2014-03-30 18:42:24,1495.0,buy
11,0.2,2014-03-30 19:03:10,1465.0,sell
12,1.58530998,2014-03-30 19:54:30,1492.0,buy
13,0.1,2014-03-30 19:58:04,1495.0,buy
14,0.08,2014-03-30 20:03:54,1589.0,buy
15,0.17,2014-03-30 20:07:11,1498.0,sell
16,0.0285714,2014-03-31 00:29:32,1750.0,buy
17,0.20999999,2014-03-31 23:17:31,1520.0,buy
18,0.06,2014-03-31 23:17:31,1517.0,buy
19,0.06,2014-04-01 10:27:10,1520.0,buy
20,0.08,2014-04-01 10:27:39,1524.5,buy
21,0.13,2014-04-01 10:27:55,1525.0,buy
22,0.035,2014-04-02 07:39:05,1531.0,buy
23,0.034,2014-04-02 07:51:21,1519.0,sell
24,0.054866099999999994,2014-04-02 10:51:38,1531.0,buy
25,0.036000000000000004,2014-04-02 10:52:48,1519.0,sell
26,0.0639269,2014-04-02 11:14:21,1533.0,buy
27,0.0339525,2014-04-02 23:25:20,1475.0,sell
28,0.266047,2014-04-02 23:25:20,1472.0,sell
29,0.033,2014-04-03 05:29:11,1542.0,buy
30,0.035,2014-04-03 09:37:14,1472.0,sell
31,0.06072,2014-04-03 10:25:12,1472.0,sell
32,0.264685,2014-04-03 14:00:16,1430.0,sell
33,0.07,2014-04-03 15:41:09,1449.0,buy
34,0.084,2014-04-03 15:41:24,1450.0,buy
35,0.07,2014-04-03 15:41:35,1451.0,buy
36,0.13755699999999998,2014-04-03 15:43:55,1435.0,sell
37,0.19,2014-04-03 15:44:20,1455.0,buy
38,0.08800000000000001,2014-04-03 15:44:29,1542.0,buy
39,0.08,2014-04-03 15:44:40,1546.0,buy
40,0.25648001,2014-04-03 15:45:40,1438.0,buy
41,0.20999999,2014-04-03 15:46:06,1549.0,buy
42,0.31999999,2014-04-03 15:46:29,1554.0,buy
43,0.20999999,2014-04-03 15:49:12,1445.0,buy
44,0.20575300000000002,2014-04-03 15:49:50,1430.0,sell
45,0.21100000000000002,2014-04-03 16:00:24,1403.0,buy
