tid,amount,date,price,type
1558306,0.00484319,2017-12-05 18:08:09,41294.9999,bid
1558307,0.03515681,2017-12-05 18:10:35,41294.9999,bid
1558308,0.27152098,2017-12-05 18:10:35,41299.0,bid
1558309,0.015,2017-12-05 18:13:16,41280.0,ask
1558310,0.09699210000000001,2017-12-05 18:14:28,41299.0,bid
1558311,0.05,2017-12-05 18:14:28,41397.5,bid
1558312,0.1,2017-12-05 18:14:28,41423.0,bid
1558313,0.02418908,2017-12-05 18:14:28,41423.6447,bid
1558314,0.01992687,2017-12-05 18:14:28,41428.0,bid
1558315,0.04650403,2017-12-05 18:16:09,41428.0,bid
1558316,0.0012,2017-12-05 18:16:25,41428.0,bid
1558317,0.17375174,2017-12-05 18:17:17,41428.0,bid
1558318,0.05624247,2017-12-05 18:17:17,41459.9989,bid
1558319,0.01,2017-12-05 18:18:14,41404.0,ask
1558320,0.00947424,2017-12-05 18:18:14,41404.0,ask
1558321,0.01494091,2017-12-05 18:18:19,41459.9989,bid
1558322,0.17698333,2017-12-05 18:18:43,41459.9989,bid
1558323,0.01205865,2017-12-05 18:18:43,41464.0,bid
1558324,0.01588891,2017-12-05 18:18:43,41466.0,bid
1558325,0.15056314,2017-12-05 18:18:43,41499.988,bid
1558326,0.0025,2017-12-05 18:18:43,41499.9999,bid
1558327,0.48647955,2017-12-05 18:18:43,41500.0,bid
1558328,0.13827467,2017-12-05 18:18:50,41500.0,bid
1558329,0.00352595,2017-12-05 18:18:50,41550.0,bid
1558330,0.08812945,2017-12-05 18:18:50,41600.0,bid
1558331,0.03281186,2017-12-05 18:18:50,41600.0,bid
1558332,0.85130429,2017-12-05 18:18:50,41625.0,bid
1558333,0.0875966,2017-12-05 18:18:50,41650.0,bid
1558334,0.0,2017-12-05 18:19:27,41404.0,ask
1558335,0.27379796,2017-12-05 18:19:57,41650.0,bid
1558336,0.0048014,2017-12-05 18:21:36,41654.5459,bid
1558337,0.01920557,2017-12-05 18:22:17,41654.5459,ask
1558338,0.00754462,2017-12-05 18:22:28,41650.0,ask
1558339,0.0011977000000000001,2017-12-05 18:22:52,41697.9999,bid
1558340,0.31233817,2017-12-05 18:22:52,41698.0,bid
1558341,0.11219580000000001,2017-12-05 18:22:52,41699.0,bid
1558342,0.00581352,2017-12-05 18:22:52,41699.0,bid
1558343,0.06423634,2017-12-05 18:22:52,41700.0,bid
1558344,0.00783346,2017-12-05 18:22:52,41700.0,bid
1558345,0.0018660999999999999,2017-12-05 18:22:59,41407.0007,ask
1558346,0.01495879,2017-12-05 18:23:52,41698.0,bid
1558347,0.02466269,2017-12-05 18:23:52,41699.0,bid
1558348,0.00834146,2017-12-05 18:23:52,41699.9999,bid
1558349,0.00558143,2017-12-05 18:23:52,41408.0005,ask
1558350,0.71891624,2017-12-05 18:23:52,41408.0004,ask
1558351,0.02,2017-12-05 18:24:05,41408.0004,ask
1558352,0.06425044,2017-12-05 18:25:12,41669.9996,bid
1558353,0.175593,2017-12-05 18:26:21,41649.9996,bid
1558354,0.24010181,2017-12-05 18:27:16,41648.9996,bid
1558355,0.09059277,2017-12-05 18:28:57,41500.0,bid
1558356,0.00137591,2017-12-05 18:29:23,41557.9995,bid
1558357,0.00405718,2017-12-05 18:30:55,41650.0,bid
1558358,0.02401537,2017-12-05 18:32:47,41639.9996,bid
1558359,0.00965018,2017-12-05 18:33:45,41450.0,ask
1558360,0.43934861,2017-12-05 18:33:45,41450.0,ask
1558361,0.01204819,2017-12-05 18:34:07,41500.0,ask
1558362,0.09471415,2017-12-05 18:34:07,41470.0,ask
1558363,0.00308971,2017-12-05 18:34:07,41450.0001,ask
1558364,0.33925019,2017-12-05 18:34:07,41430.0009,ask
1558365,0.00241487,2017-12-05 18:34:59,41410.0112,ask
1558366,0.14846033,2017-12-05 18:35:07,41410.0112,ask
1558367,0.0194,2017-12-05 18:35:07,41407.0007,ask
1558368,0.07761903,2017-12-05 18:35:07,41404.0,ask
1558369,0.1,2017-12-05 18:35:07,41397.5,ask
1558370,0.65452064,2017-12-05 18:35:07,41281.0404,ask
1558371,0.0408173,2017-12-05 18:35:17,41600.0,bid
1558372,0.001,2017-12-05 18:35:58,41290.0,ask
1558373,0.0193709,2017-12-05 18:37:06,41598.0,bid
1558374,0.0048115,2017-12-05 18:37:06,41598.0004,bid
1558375,0.0258176,2017-12-05 18:37:07,41598.0004,ask
1558376,0.01,2017-12-05 18:38:03,41305.0073,ask
1558377,0.00240442,2017-12-05 18:38:37,41589.9996,bid
1558378,0.1202212,2017-12-05 18:39:12,41589.9995,bid
1558379,0.14981854,2017-12-05 18:39:16,41589.9995,bid
1558380,0.12065383,2017-12-05 18:39:26,41305.0095,ask
1558381,0.001,2017-12-05 18:39:33,41305.0095,ask
1558382,0.001977,2017-12-05 18:39:54,41589.9995,bid
1558383,0.01931812,2017-12-05 18:41:19,41579.9996,bid
1558384,0.0237946,2017-12-05 18:42:03,41574.9996,bid
1558385,0.0237946,2017-12-05 18:43:05,41565.0,bid
1558386,0.00197275,2017-12-05 18:45:27,41544.9996,bid
1558387,0.00121767,2017-12-05 18:46:51,41500.0,bid
1558388,0.00094996,2017-12-05 18:46:51,41544.988,bid
1558389,0.03761585,2017-12-05 18:47:03,41436.0,ask
1558390,0.09945128,2017-12-05 18:47:03,41333.0001,ask
1558391,0.02392337,2017-12-05 18:47:03,41333.0,ask
1558392,0.04007380000000001,2017-12-05 18:47:04,41333.0,ask
1558393,0.09719244,2017-12-05 18:47:20,41333.0,bid
1558394,0.00696146,2017-12-05 18:48:36,41542.5,bid
1558395,0.05702291,2017-12-05 18:48:37,41542.5,bid
1558396,0.03354948,2017-12-05 18:48:37,41542.9996,bid
1558397,0.09474265,2017-12-05 18:49:38,41542.9984,ask
1558398,0.00367041,2017-12-05 18:49:49,41542.9991,bid
1558399,0.0022939,2017-12-05 18:50:42,41544.9876,bid
1558400,0.02521484,2017-12-05 18:50:54,41542.9984,ask
1558401,0.09894856,2017-12-05 18:52:48,41542.9984,ask
1558402,0.00344085,2017-12-05 18:53:42,41544.9876,bid
1558403,0.00196394,2017-12-05 18:54:07,41542.9984,ask
1558404,0.11613024,2017-12-05 18:54:47,41542.9984,ask
1558405,0.11634311,2017-12-05 18:56:09,41326.0,ask
1558406,0.0492,2017-12-05 18:56:09,41325.02,ask
1558407,0.04839683,2017-12-05 18:56:09,41325.02,ask
1558408,0.0492,2017-12-05 18:56:09,41325.01,ask
1558409,0.15924593,2017-12-05 18:56:09,41325.0,ask
1558410,0.03876736,2017-12-05 18:56:09,41305.01,ask
1558411,0.00120799,2017-12-05 18:56:09,41281.02,ask
1558412,0.04848249,2017-12-05 18:56:09,41252.003,ask
1558413,0.70041772,2017-12-05 18:56:09,41252.0004,ask
1558414,0.0137679,2017-12-05 18:58:23,41253.0,ask
1558415,0.01160747,2017-12-05 18:58:27,41500.0,bid
1558416,0.0486367,2017-12-05 18:58:41,41253.0012,ask
1558417,0.58890683,2017-12-05 18:58:41,41253.0,ask
1558418,0.05,2017-12-05 18:59:12,41254.0001,ask
1558419,0.00718937,2017-12-05 19:01:11,41449.9991,bid
1558420,0.00196739,2017-12-05 19:01:44,41299.0,bid
1558421,0.01304424,2017-12-05 19:01:45,41299.0,bid
1558422,0.027783999999999996,2017-12-05 19:03:12,41399.9991,bid
1558423,0.00695538,2017-12-05 19:03:12,41399.9999,bid
1558424,0.00220069,2017-12-05 19:03:32,41399.9999,bid
1558425,0.02078853,2017-12-05 19:03:32,41459.95,bid
1558426,0.00459831,2017-12-05 19:05:38,41450.0,bid
1558427,0.00413848,2017-12-05 19:07:46,41450.0,bid
1558428,0.00344873,2017-12-05 19:08:17,41450.0,bid
1558429,0.12680999999999998,2017-12-05 19:08:20,41450.0,bid
1558430,0.02790832,2017-12-05 19:08:48,41450.0,bid
1558431,0.01889045,2017-12-05 19:09:24,41450.0,bid
1558432,0.12681808,2017-12-05 19:09:24,41459.95,bid
1558433,0.0542,2017-12-05 19:09:24,41459.99,bid
1558434,0.0542,2017-12-05 19:09:24,41469.98,bid
1558435,0.05863084,2017-12-05 19:09:24,41544.9864,bid
1558436,0.21733525,2017-12-05 19:09:24,41544.9876,bid
1558437,0.0024,2017-12-05 19:12:35,41541.982,bid
1558438,0.0025,2017-12-05 19:23:28,41410.0004,ask
1558439,0.02414817,2017-12-05 19:24:11,41411.0,bid
1558440,0.1,2017-12-05 19:24:11,41411.0,bid
1558441,0.00195933,2017-12-05 19:25:25,41411.0004,ask
1558442,0.05363692,2017-12-05 19:27:38,41488.0,bid
1558443,0.00101518,2017-12-05 19:27:38,41489.0,bid
1558444,0.00733825,2017-12-05 19:28:02,41541.9996,ask
1558445,0.01080965,2017-12-05 19:28:10,41541.9996,ask
1558446,0.0045,2017-12-05 19:28:18,41541.9996,bid
1558447,0.01966435,2017-12-05 19:28:26,41541.9996,bid
1558448,0.09136581,2017-12-05 19:31:26,41540.9,bid
1558449,0.03370327,2017-12-05 19:32:50,41538.9996,bid
1558450,0.0222938,2017-12-05 19:33:06,41538.0,bid
1558451,0.005476600000000001,2017-12-05 19:35:02,41497.9,ask
1558452,0.08,2017-12-05 19:35:16,41497.9,ask
1558453,0.00504741,2017-12-05 19:35:43,41497.9001,bid
1558454,0.00767061,2017-12-05 19:35:43,41497.9001,bid
1558455,0.16,2017-12-05 19:36:23,41497.9,ask
1558456,0.20636584,2017-12-05 19:36:44,41497.9,ask
1558457,0.08560527,2017-12-05 19:38:03,41497.9,ask
1558458,0.0034970999999999995,2017-12-05 19:38:20,41497.9,ask
1558459,0.0728703,2017-12-05 19:39:02,41497.9,ask
1558460,1.41593995,2017-12-05 19:39:09,41497.9,ask
1558461,0.1499443,2017-12-05 19:40:08,41497.9,ask
1558462,0.00731855,2017-12-05 19:41:03,41497.9,ask
1558463,0.53478348,2017-12-05 19:41:50,41497.9001,bid
1558464,0.51110959,2017-12-05 19:41:52,41497.9001,bid
1558465,0.00143743,2017-12-05 19:43:31,41541.9996,bid
1558466,0.01,2017-12-05 19:45:53,41540.0,bid
1558467,0.07221931,2017-12-05 19:48:16,41540.0,bid
1558468,0.0241,2017-12-05 19:48:39,41512.0,ask
1558469,0.00950064,2017-12-05 19:49:10,41515.0004,ask
1558470,0.03610977,2017-12-05 19:49:19,41540.0,bid
1558471,0.16578912,2017-12-05 19:49:27,41540.0,bid
1558472,0.04330666,2017-12-05 19:52:45,41541.9996,bid
1558473,0.00250961,2017-12-05 19:57:11,41541.9996,bid
1558474,0.00901898,2017-12-05 20:00:43,41578.9577,bid
1558475,0.03771012,2017-12-05 20:03:12,41542.0,ask
1558476,0.00240855,2017-12-05 20:03:12,41541.9996,ask
1558477,0.03671586,2017-12-05 20:03:12,41541.0,ask
1558478,0.05867297,2017-12-05 20:03:12,41511.0016,ask
1558479,0.03770481,2017-12-05 20:03:13,41511.0016,ask
1558480,0.01283977,2017-12-05 20:03:13,41511.0004,ask
1558481,0.085,2017-12-05 20:04:00,41574.7994,ask
1558482,0.01,2017-12-05 20:04:00,41524.592000000004,ask
1558483,0.4010408,2017-12-05 20:04:00,41511.0004,ask
1558484,0.03084896,2017-12-05 20:05:17,41513.01,ask
